Прізвище,Ім’я По-батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Ващенко,Лукʼян Сергійович,Чоловіча,1990-06-12,Прокурор,селище Сторожинець,"набережна Полуничний, буд. 601, Моспине, 98531",031 710-08-12,vernyhoramyron@example.org
Фурс,Ростислав Павлович,Чоловіча,1981-06-20,Електрик,селище Звенигородка,"проспект Університетський, буд. 94 кв. 0, Армянськ, 32849",+380 67 077-31-92,ielyseitykha@example.org
Петлюра,Демʼян Миколайович,Чоловіча,1945-08-16,Етнограф,село Мена,"шосе Трамвайний, буд. 21 кв. 61, Вараш, 61361",+380 (47) 245-79-52,vitrukviacheslav@example.net
Джунь,Клавдія Іванівна,Жіноча,1964-11-21,Секретар,селище Прилуки,"набережна Парковий, буд. 800, Ананьїв, 10310",010-86-36,oleksavobla@example.org
Власенко,Ада Василівна,Жіноча,1988-02-24,Журналіст,хутір Здолбунів,"парк Стамбульський, буд. 36, Хотин, 12843",+380 (85) 270-15-72,irynaviter@example.net
Вишняк,Леон Олександрович,Чоловіча,1987-01-10,Редактор,хутір Сновськ,"вулиця Хімічний 2-й, буд. 6 кв. 4, Бобровиця, 63278",144-92-07,marynashchyrytsia@example.com
Асаула,Ліза Юріївна,Жіноча,2000-08-04,Зоолог,селище Великі Мости,"площа Штурвальна, буд. 107 кв. 62, Чугуїв, 06920",072 983 89 26,oleksa99@example.com
Андрійчук,Лілія Петрівна,Жіноча,1981-10-27,Ді-джей,хутір Сокиряни,"шосе Восьмого березня 4-й, буд. 4, Жидачів, 69683",+380 83 003 05 21,dmytrostus@example.net
Базавлученко,Василина Миколаївна,Жіноча,1980-06-02,М'ясник,місто Лубни,"набережна Лазурний 2-й, буд. 5, Миргород, 90597",+380 72 027-73-24,onysym48@example.org
Кащенко,Мілена Павлівна,Жіноча,1965-02-01,Машиніст,хутір Нова Одеса,"парк Просвіти, буд. 0, Сніжне, 92513",+380 23 015-15-27,alevtynbebeshko@example.net
Батіг,Марина Георгіївна,Жіноча,1946-01-20,Соціолог,хутір Мирноград,"узвіз Клинова, буд. 338, Ладижин, 15815",+380 (41) 881-14-90,iaryna03@example.net
Палій,Гліб Степанович,Чоловіча,1970-09-05,Антрополог,село Вуглегірськ,"сквер Одеський, буд. 901, Кременчук, 92842",067 605 27 28,oryna56@example.net
Пилипенко,Надія Романівна,Жіноча,2001-09-05,Гірник,селище Хутір-Михайлівський,"парк Лінія 29-та, буд. 094 кв. 100, Привілля, 14279",+380 (08) 500-05-96,davydhrytsenko@example.com
Тарасенко,Любов Георгіївна,Жіноча,1986-06-30,Слідчий,місто Нова Одеса,"набережна Лінія 52-га, буд. 2 кв. 91, Балта, 28396",+380 17 356-34-51,lutsenkokamilla@example.net
Скорик,Єлисей Володимирович,Чоловіча,1991-01-19,Перекладач,селище Хмільник,"площа Академіка Богатського, буд. 0 кв. 0, Жовква, 67543",074 788-54-12,ckarpenko@example.net
Данько,Назар Володимирович,Чоловіча,1951-09-20,Громадський діяч,хутір Підгайці,"узвіз Івахненка Петра, буд. 5, Жовті Води, 37189",+380 17 088 56 63,dan23@example.com
Давимука,Венедикт Артемович,Чоловіча,1993-03-19,Художник,село Балта,"сквер Сірожупанників, буд. 19 кв. 2, Кам'янець-Подільський, 60599",073 541 21 12,svitlana04@example.com
Заєць,Маруся Андріївна,Жіноча,1957-02-28,Бібліограф,місто Чигирин,"вулиця Бейтельсбахера, буд. 74, Куп'янськ, 47394",074 614 87 27,bohdan86@example.org
Приходько,Святослава Тарасівна,Жіноча,1980-07-09,Адвокат,селище Дрогобич,"сквер Луценка Івана, буд. 41, Моршин, 23263",246 93 39,pryimakpylyp@example.net
Гавришкевич,Ярослав Ярославович,Чоловіча,1980-03-06,Археолог,місто Вижниця,"набережна Уральський, буд. 81, Хмельницький, 29206",+380 (93) 231-74-00,iaroslavsamoilenko@example.net
Забара,Леонтій Миколайович,Чоловіча,1977-12-04,Ювелір,місто Гадяч,"провулок Капітана Гаврікова, буд. 8 кв. 0, Херсон, 08190",+380 65 700-20-11,shvedchenkookseniia@example.com
Влох,Петро Тарасович,Чоловіча,1977-10-21,Музикант,село Добромиль,"вулиця Чорноморський 9-й, буд. 023 кв. 1, Ірпінь, 02057",+380 87 147-26-57,shcherbanazar@example.net
Бабак,Алла Артемівна,Жіноча,1939-04-04,Редактор,село Миргород,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 63, Покров, 98363",672 81 61,oryna45@example.org
Дараган,Ігнат Іванович,Чоловіча,1986-02-24,Антрополог,селище Кропивницький,"провулок Ігоря Бедзая, буд. 66 кв. 74, Кам'янка-Дніпровська, 74129",+380 54 538-62-80,ustymshtepa@example.com
Фоменко,Аркадій Володимирович,Чоловіча,1981-02-08,Художник,хутір Тальне,"площа Йозефа Прибіка, буд. 7, Прилуки, 99008",665 61 66,khrystyna54@example.com
Рак,Едита Павлівна,Жіноча,1958-03-20,Няня,село Жидачів,"набережна Грузовий, буд. 644 кв. 66, Волноваха, 93189",+380 06 171-87-25,pdrozd@example.com
Скиба,Устим Павлович,Чоловіча,1997-10-04,Ді-джей,селище Березань,"проспект Шостої 2-й, буд. 24 кв. 53, Острог, 34061",+380 35 327 42 41,fartushniakada@example.org
Теліженко,Соломон Артемович,Чоловіча,1976-07-14,Детектив,селище Харцизьк,"проспект Бригадна, буд. 7, Бучач, 65591",060 335 56 15,fzaruba@example.com
Литвин,Ілля Андрійович,Чоловіча,1952-01-26,Футболіст,селище Бобринець,"проспект Куяльницький міст, буд. 9 кв. 56, Городище, 79667",051 289-01-88,myron98@example.net
Зубко,Азар Ігорович,Чоловіча,1977-09-08,Антрополог,хутір Синельникове,"парк Водопровідний 1-й, буд. 966 кв. 753, Белз, 12158",+380 (63) 187-75-49,satsiukmykolai@example.com
Дашкевич,Оксана Ігорівна,Жіноча,1957-10-20,Ботанік,селище Зборів,"площа Приморський, буд. 43, Львів, 58898",+380 (20) 144-79-10,iukhymmishchenko@example.org
Ґалаґан,Віра Олександрівна,Жіноча,1960-04-22,Фотограф,село Українка,"узвіз Чернігівська, буд. 993 кв. 156, Бахмут, 55056",478 48 48,wnehoda@example.org
Андрієнко,Амалія Богданівна,Жіноча,1941-12-10,Кушнір,хутір Кролевець,"парк Куликовський 2-й, буд. 487 кв. 128, Броди, 31477",+380 (80) 381-18-96,mariana26@example.com
Верес,Аліна Богданівна,Жіноча,1965-01-25,Графік,село Стрий,"набережна Алмазна, буд. 6 кв. 5, Суходільськ, 42033",+380 (82) 612-21-28,wchumak@example.net
Андрієвич,Галина Романівна,Жіноча,1999-12-14,Акушер,хутір Алчевськ,"площа Північний, буд. 81 кв. 7, Костопіль, 72598",+380 13 592-49-44,derkachmarta@example.net
Штокало,Семен Андрійович,Чоловіча,1984-06-13,Швачка,місто Пирятин,"узвіз Аеродромна, буд. 4 кв. 84, Апостолове, 98482",+380 00 204-15-75,kzaiets@example.com
Аврамчук,Валерій Вікторович,Чоловіча,1991-02-28,Детектив,селище Хмільник,"площа Проїзний 1-й, буд. 2 кв. 1, Охтирка, 39388",018 040 25 51,shyianodarka@example.net
Ващенко,Анастасія Петрівна,Жіноча,1965-08-19,Каскадер,селище Борщів,"провулок Журавлина, буд. 678, Шумськ, 32243",+380 62 313 11 75,haidaihlib@example.net
Литвиненко,Мілена Петрівна,Жіноча,1953-09-15,Електромонтер,селище Малин,"вулиця Морехідний, буд. 44 кв. 52, Сорокине, 17940",+380 66 593-47-61,odarka99@example.net
Лубенець,Тарас Ігорович,Чоловіча,1965-10-23,Композитор,селище Новояворівськ,"шосе Колективний, буд. 08 кв. 73, Монастириська, 04427",+380 37 282-34-35,rostyslavkopytko@example.com
Свириденко,Роксолана Володимирівна,Жіноча,1949-01-08,Астронавт,село Сіверськ,"набережна Грецька, буд. 127, Шостка, 63829",745-09-27,iurchyshyniefrem@example.net
Чубай,Ярема Васильович,Чоловіча,1978-04-19,Сантехнік,місто Старокостянтинів,"узвіз Бутишів, буд. 7 кв. 45, Герца, 99596",+380 45 733-47-86,adamenkovadym@example.net
Каденюк,Роксолана Павлівна,Жіноча,1964-03-22,Педагог,селище Скалат,"площа Авангардна, буд. 07, Горлівка, 15272",+380 13 380-33-58,telychenkoorkhyp@example.org
Кибкало,Богуслава Юріївна,Жіноча,1953-03-05,Астронавт,селище Добромиль,"набережна Василя Стуса, буд. 480, Ізяслав, 95766",+380 69 905-01-65,nosenkospas@example.com
Безбородько,Станіслав Вікторович,Чоловіча,2002-10-20,Акушер,місто Носівка,"узвіз Кругова, буд. 61, Люботин, 82758",+380 86 139-71-47,artymyshynleonid@example.net
Байда,Антон Ігорович,Чоловіча,1958-08-25,Юрист,місто Теплодар,"провулок Східний, буд. 5, Павлоград, 29949",013 465-03-05,andrusenkosolomon@example.com
Удовиченко,Геннадій Олександрович,Чоловіча,1964-02-04,Підприємець,місто Житомир,"шосе Контрадмірала Остроградського, буд. 29, Гнівань, 15576",073 780-12-00,tesliaalbert@example.org
Ісаєвич,Давид Романович,Чоловіча,1991-11-02,Сценарист,хутір Снятин,"провулок Авіаторів, буд. 38 кв. 89, Стрий, 35168",065 223 50 54,demianvakhnii@example.org
Дацюк,Богуслав Ігорович,Чоловіча,2006-07-06,Бухгалтер,хутір Івано-Франківськ,"узвіз 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 074, Свалява, 48961",365 94 35,ustenkoihor@example.net
Михайличенко,Орхип Романович,Чоловіча,1950-09-17,Єгер,хутір Оріхів,"площа Балтська дорога, буд. 8 кв. 7, Генічеськ, 49904",424-88-66,glahoda@example.net
Данилюк,Антон Васильович,Чоловіча,1953-06-07,Модельєр,село Дніпрорудне,"сквер Дерибасівська, буд. 86, Белз, 14559",705-91-10,amvrosiikozak@example.com
Канівець,Юстим Миколайович,Чоловіча,2003-01-10,Гицель,село Хрестівка,"узвіз Академіка Заболотного, буд. 40 кв. 0, Біла Церква, 43533",+380 54 264-44-01,herman86@example.net
Авдєєнко,Климент Сергійович,Чоловіча,1955-11-03,Лікар,селище Середина-Буда,"набережна Ботанічний, буд. 60, Білозерське, 92767",655-13-10,elysenko@example.com
Артеменко,Ростислав Тарасович,Чоловіча,1997-11-07,Музичний редактор,село Балаклія,"набережна Обільний 2-й, буд. 096 кв. 149, Мена, 24751",+380 (83) 539-44-34,enikoliuk@example.org
Зінкевич,Вікторія Петрівна,Жіноча,2003-12-20,Кінорежисер,хутір Монастирище,"провулок Щоголєва, буд. 88 кв. 8, Теплодар, 42487",+380 78 832-98-56,qdashkevych@example.org
Андрієвич,Євген Степанович,Чоловіча,1959-11-03,Шериф,село Курахове,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 8, Слов'янськ, 37280",850 94 41,hbatih@example.com
Масоха,Світлана Павлівна,Жіноча,1981-03-15,Локсмайстер,хутір Вижниця,"сквер Вокзальна, буд. 893, Христинівка, 97834",+380 12 479-05-66,sizhakevych@example.org
Бгиденко,Амвросій Юрійович,Чоловіча,1977-01-01,Філолог,село Середина-Буда,"узвіз Лінія 28-ма, буд. 1 кв. 96, Очаків, 64487",019 662 01 58,bohuslava46@example.net
Швачко,Артем Андрійович,Чоловіча,1995-07-24,Юрист,хутір Білозерське,"вулиця Байгородський, буд. 5 кв. 94, Ромни, 93858",204-22-00,martynhaidamaka@example.com
Козаченко,Софія Володимирівна,Жіноча,1961-03-01,Кінорежисер,хутір Козятин,"вулиця Різовська, буд. 04, Боково-Хрустальне, 48371",371-73-99,cdotsenko@example.com
Бабійчук,Ліза Романівна,Жіноча,1943-10-30,Підприємець,селище Привілля,"набережна В’ячеслава Чорновола, буд. 4, Монастириська, 59476",+380 89 128-62-26,asahal@example.org
Малик,Андрій Романович,Чоловіча,1959-09-16,Кінорежисер,хутір Нікополь,"парк Радіо, буд. 84 кв. 20, Кривий Ріг, 22978",+380 13 475-01-95,azar05@example.com
Рак,Єлисавета Вікторівна,Жіноча,1974-11-22,Мовознавець,хутір Підгородне,"узвіз Юрія Асєєва, буд. 99 кв. 357, Буча, 17253",+380 89 485-85-86,oprokopovych@example.net
Хомик,Галина Георгіївна,Жіноча,1997-10-03,Геофізик,село Амвросіївка,"шосе Маршрутна, буд. 8 кв. 135, Дергачі, 20754",915-22-29,rozaliianazarenko@example.com
Якимчук,Андрій Ярославович,Чоловіча,1980-03-24,Ветеринар,селище Родинське,"провулок Костанді 2-й, буд. 63, Галич, 03250",047 396-00-14,solomon03@example.net
Ященко,Давид Іванович,Чоловіча,1957-05-22,Візажист,хутір Чугуїв,"узвіз Амундсена, 1-й, буд. 9, Прип'ять, 12549",067 471-05-69,baturynetsdmytro@example.com
Верес,Остап Володимирович,Чоловіча,1963-09-05,Ботанік,місто Вугледар,"парк Стамбульський, буд. 00 кв. 867, Чистякове, 37994",633 18 58,hiukhymenko@example.net
Давимука,Назар Романович,Чоловіча,1946-07-05,Мовознавець,селище Ладижин,"шосе Бродська, буд. 27 кв. 18, Ізяслав, 02089",+380 36 867 50 16,ielysaveta29@example.org
Фесенко,Валентина Олександрівна,Жіноча,1970-11-29,Кушнір,хутір Жидачів,"сквер Манежний, буд. 85, Білозерське, 74697",724 84 75,hryhoriisirobaba@example.com
Затовканюк,Марта Юріївна,Жіноча,1956-11-28,Ветеринар,село Гірник,"проспект Чорноморський 11-й, буд. 596 кв. 5, Скадовськ, 18874",004 958-70-42,levkoarsenych@example.org
Коваленко,Левко Ярославович,Чоловіча,1973-12-31,Стропальник,селище Тлумач,"сквер Отрадна, буд. 996 кв. 510, Корсунь-Шевченківський, 75210",+380 96 332 29 95,albina84@example.net
Бандура,Анастасія Ярославівна,Жіноча,2005-02-23,Льотчик,хутір Моспине,"шосе Заводська 2-га, буд. 2 кв. 42, Зміїв, 09512",066 144-58-31,ieshchenkovadym@example.net
Чумаченко,Омелян Петрович,Чоловіча,1995-11-09,Епідеміолог,село Мелітополь,"площа Абрикосова, буд. 088 кв. 976, Бурштин, 11867",+380 (38) 195-03-65,wvasylechko@example.org
Демиденко,Варфоломій Павлович,Чоловіча,1952-06-15,Скульптор,хутір Чернівці,"сквер Яна Длугоша, буд. 597 кв. 3, Ізюм, 40862",+380 53 798-01-93,tsisykiaryna@example.com
Базавлученко,Марта Василівна,Жіноча,1939-05-17,Патологоанатом,місто Глобине,"сквер Гранатна, буд. 050, Шепетівка, 84514",096 539-27-80,avhustynchumachenko@example.net
Євдокименко,Оксана Ігорівна,Жіноча,1948-04-09,Географ,хутір Вашківці,"шосе Станційна 1-ша, буд. 676 кв. 2, Великі Мости, 73353",+380 30 456 36 35,sviatoslavaieromenko@example.com
Батіг,Анжела Юріївна,Жіноча,1995-06-05,Машиніст,селище Ізюм,"проспект Тополиний, буд. 046 кв. 379, Оріхів, 46573",374-13-94,rvitruk@example.org
Сомко,Омелян Артемович,Чоловіча,1943-08-04,Геофізик,селище Дебальцеве,"узвіз Миколи Боровського, буд. 7 кв. 465, Гребінка, 42280",045 767-69-28,atamanchuksolomon@example.com
Ковалюк,Панас Вікторович,Чоловіча,1961-09-07,Епідеміолог,селище Копичинці,"сквер Котляревського, буд. 3 кв. 97, Ялта, 25471",+380 55 569 25 21,havriushenkoleopold@example.com
Чуйко,Мирослав Романович,Чоловіча,1990-01-04,Модель,місто Білицьке,"вулиця Любомира Гузара, буд. 14, Зимогір'я, 81218",087 368 95 10,davydromanenko@example.org
Каденюк,Мартин Ігорович,Чоловіча,1989-04-20,Перекладач,село Дубровиця,"вулиця Нескучна, буд. 16, Залізне, 08024",572-63-74,sofiiasheremeta@example.org
Височан,Прохір Дмитрович,Чоловіча,1982-07-18,Складальник,селище Рогатин,"узвіз Капітана Кузнецова, буд. 87, Іллінці, 32989",+380 73 858 02 54,kovpakvalerii@example.net
Ґереґа,Еріка Сергіївна,Жіноча,1967-12-10,Журналіст,хутір Волочиськ,"набережна Шампанський, буд. 28 кв. 137, Нікополь, 68678",088 620 40 88,zskopenko@example.org
Євтушок,Ілля Іванович,Чоловіча,1968-01-19,Паралегал,хутір Корець,"набережна Бузковий 1-й, буд. 6, Красноперекопськ, 87286",+380 13 300-86-82,khudobiakiakiv@example.org
Журба,Макар Павлович,Чоловіча,1962-09-02,Електромонтер,місто Федорівка,"вулиця Савранський, буд. 023, Кальміуське, 15710",229 95 70,dvysochan@example.net
Жайворон,Ігор Георгійович,Чоловіча,1950-06-25,Мовознавець,село Київ,"вулиця Незалежності, буд. 68, Сміла, 56217",141-09-15,bohodariesypenko@example.com
Цибуленко,Захар Сергійович,Чоловіча,1997-12-14,Графік,село Пирятин,"шосе Овідіопольська, буд. 89, Сквира, 59454",+380 (22) 481-00-08,tychynasviatoslav@example.com
Гайдамака,Леонтій Тарасович,Чоловіча,1973-08-07,Археолог,місто Зіньків,"узвіз Тупиковий 2-й, буд. 7 кв. 542, Звенигородка, 27302",069 628 86 60,matviienkoiaryna@example.com
Цюцюра,Дарина Миколаївна,Жіноча,2000-02-07,Біолог,село Покров,"провулок Андрія Гулого-Гуленка, буд. 34, Добропілля, 29308",+380 (31) 562-58-95,oiarema@example.net
Червоненко,Тетяна Андріївна,Жіноча,1957-05-26,Електрослюсар,селище Тячів,"сквер Фонтанська дорога, буд. 801, Сміла, 69019",661 54 75,nataliiadrozdenko@example.org
Таран,Григорій Георгійович,Чоловіча,2006-11-03,Круп'є,хутір Бахмут,"провулок Басейний 1-й, буд. 05, Золотоноша, 93671",+380 24 828-24-35,azhazhastepan@example.net
Годунок,Юстим Богданович,Чоловіча,1944-12-05,Медик,селище Острог,"шосе Українських Героїв, буд. 45, Джанкой, 93350",+380 71 415-96-85,boleslav69@example.com
Бабак,Захар Іванович,Чоловіча,1991-11-12,Астронавт,селище Моспине,"сквер Рішельєвська, буд. 301, Самар, 89743",039 789 94 78,yiukhymenko@example.com
Акименко,Ярема Володимирович,Чоловіча,1942-10-30,Кінорежисер,місто Бориспіль,"сквер Петра Болбочана, буд. 91 кв. 434, Харків, 05206",+380 46 577 48 51,havryloshutko@example.com
Баштан,Пилип Андрійович,Чоловіча,1953-02-15,Сценарист,хутір Нетішин,"парк Дзвінка, буд. 28 кв. 8, Решетилівка, 13976",384 72 22,bazavluchenkooleh@example.org
Валенко,Любов Андріївна,Жіноча,1964-08-27,Фермер,хутір Конотоп,"шосе Зернова, буд. 02, Карлівка, 78091",044 326-81-54,sviatoslavkovaliuk@example.org
Базилевський,Світлана Георгіївна,Жіноча,1985-11-18,Промисловець,хутір Кобеляки,"проспект Олександра Ройтбурда, буд. 07 кв. 1, Шаргород, 51738",+380 32 608-46-23,pavloiurchyshyna@example.org
Акуленко,Валерій Юрійович,Чоловіча,1978-05-29,Продюсер,місто Ялта,"проспект Дев’ята, буд. 3 кв. 61, Балаклія, 42237",034 809 02 60,opanas51@example.org
Гуцуляк,Ілля Георгійович,Чоловіча,1980-07-15,Провізор,село Ізяслав,"площа Маковий, буд. 84 кв. 6, Сокиряни, 41543",066-06-39,dmytro43@example.org
Килимник,Арсен Ігорович,Чоловіча,1967-07-15,Інженер,селище Таврійськ,"парк Газова, буд. 8, Багачеве, 66283",+380 58 108-61-60,zhadaniakiv@example.com
Верес,Соломія Олександрівна,Жіноча,1965-11-01,Геофізик,хутір Дубровиця,"шосе Розумовський 2-й, буд. 611, Курахове, 20238",050 760 07 43,vernydubdaryna@example.com
Андрійович,Ада Романівна,Жіноча,1977-12-30,Дипломат,село Великі Мости,"шосе Строганов міст, буд. 6 кв. 7, Білогірськ, 02554",+380 35 035-54-71,zlesyk@example.org
Ільєнко,Едита Артемівна,Жіноча,1994-07-01,Нотаріус,хутір Мала Виска,"сквер Парковий, буд. 16 кв. 260, Жмеринка, 38660",+380 64 123 29 36,romanetszorian@example.com
Атаманюк,Камілла Володимирівна,Жіноча,1959-09-13,Ветеринар,місто Залізне,"площа Лиманчик 2-й Лінія 9-та, буд. 951 кв. 0, Кам'янка-Дніпровська, 04390",+380 (72) 577-47-31,givanenko@example.com
Лупій,Гордій Іванович,Чоловіча,1946-02-08,Пекар,місто Рудки,"парк Радіо, буд. 645, Помічна, 63078",+380 64 957 26 60,erika23@example.com
Щириця,Альберт Романович,Чоловіча,1944-03-18,Фізик,місто Бобринець,"провулок Індійська, буд. 794 кв. 75, Антрацит, 54056",+380 48 235-96-73,vladyslav95@example.net
Якименко,Хома Богданович,Чоловіча,1956-08-10,Живописець,місто Кропивницький,"провулок Лінія 25-та, буд. 535 кв. 7, Попасна, 90853",035 612 30 40,nosenkoboleslav@example.net
Артеменко,Святослава Степанівна,Жіноча,2003-09-21,Актор,місто Ічня,"вулиця Героїв Крут, буд. 18 кв. 6, Глиняни, 52583",+380 48 791-80-61,vbaturynets@example.com
Швайка,Михайлина Петрівна,Жіноча,1988-02-06,Каскадер,село Борислав,"парк Камишова, буд. 7 кв. 31, Сквира, 41711",035 997-53-01,zakharlahoda@example.com
Шиян,Дан Дмитрович,Чоловіча,1954-07-15,Архітектор,місто Славута,"парк Професора Коровицького, буд. 4 кв. 37, Сніжне, 82663",026 280-67-66,hupaloviktor@example.net
Башполченко,Онисим Юрійович,Чоловіча,2007-07-17,Няня,село Мена,"вулиця Деволанівська, буд. 759 кв. 104, Долинська, 81588",011 906-34-53,orkhyp48@example.net
Венгринович,Климент Миколайович,Чоловіча,1944-06-13,Бібліотекар,місто Сорокине,"провулок Керченський 2-й, буд. 8, Старокостянтинів, 66130",+380 05 128 09 04,davydenkospas@example.net
Вівчаренко,Руслан Павлович,Чоловіча,1950-03-19,Архітектор,хутір Жидачів,"вулиця Бахчева, буд. 0 кв. 196, Турка, 01172",031 566-26-39,udovychenkodemyd@example.com
Сімашкевич,Тарас Васильович,Чоловіча,1982-08-12,Електромонтажник,селище Інкерман,"площа Академіка Філатова, буд. 847, Чугуїв, 44429",+380 05 501-15-45,somkoiarema@example.org
Носаченко,Валентин Тарасович,Чоловіча,1988-11-04,Будник,хутір Ямпіль,"проспект Стороженка Олега, буд. 86 кв. 5, Дубляни, 44945",217 49 05,havrylodubenko@example.org
Гайда,Гліб Романович,Чоловіча,1989-04-02,Ветеринар,місто Рубіжне,"вулиця Капітана Гаврікова, буд. 79 кв. 5, Коростень, 87817",+380 04 075-73-31,unesterenko@example.com
Бараник,Ада Іванівна,Жіноча,1941-11-23,Хореограф,селище Гнівань,"площа Миколи Троїцького, буд. 16, Іллінці, 40058",+380 66 372-23-87,alinaperepelytsia@example.net
Засуха,Вадим Олександрович,Чоловіча,1939-02-18,Реабілітолог,селище Устилуг,"узвіз Училищна, буд. 16, Татарбунари, 68800",296-92-90,tereshchenkooleh@example.org
Дубина,Василь Павлович,Чоловіча,1968-11-26,Електротехнік,селище Єнакієве,"набережна Василя Берладяну, буд. 03 кв. 47, Хрустальний, 32197",+380 44 773-59-31,kharchenkoiustym@example.net
Масляк,Максим Степанович,Чоловіча,1945-07-16,Інженер,місто Перевальськ,"площа Київське, буд. 29 кв. 553, Гнівань, 99968",+380 78 262-09-96,hodunokborys@example.com
Забіла,Єфрем Степанович,Чоловіча,1979-07-10,Фрілансер,село Костопіль,"узвіз Давида Ойстраха, буд. 481 кв. 926, Валки, 53538",+380 61 325-34-31,kudovenko@example.org
Данченко,Еріка Романівна,Жіноча,2006-03-23,Співак,село Верхньодніпровськ,"вулиця 3-тя Лінія Марії Демченко, буд. 948, Авдіївка, 39632",489 79 35,allafastenko@example.org
Франчук,Любов Георгіївна,Жіноча,2003-07-13,Юрист,село Погребище,"узвіз Матюшенка, буд. 24, Українськ, 17426",926 08 83,veniiamynvashchenko-zakharchenko@example.org
Жук,Леонід Дмитрович,Чоловіча,1949-03-24,Піаніст,місто Підгайці,"шосе Луценка Івана, буд. 95 кв. 727, Шумськ, 59476",+380 62 472-60-17,allaarkhypenko@example.com
Калениченко,Зиновій Артемович,Чоловіча,1991-01-09,Електрик,селище Новодружеськ,"провулок Місячний, буд. 325, Ровеньки, 42205",024 548-00-39,clesyk@example.org
Ковалюк,Назар Ігорович,Чоловіча,1980-08-25,Будник,село Джанкой,"парк Миколи Бажана, буд. 0, Рожище, 68241",605-32-77,rostyslavkaras@example.com
Малишко,Олександр Юрійович,Чоловіча,1945-09-12,Слідчий,хутір Старий Самбір,"шосе Сергія Ядова, буд. 9, Івано-Франківськ, 09660",+380 26 774-93-21,bpelekh@example.net
Рубець,Костянтин Степанович,Чоловіча,2003-12-22,Продюсер,селище Керч,"узвіз Водопровідний 3-й, буд. 43 кв. 6, Любомль, 21043",507 20 27,csirchenko@example.org
Батуринець,Аркадій Богданович,Чоловіча,1993-02-21,Патологоанатом,село Звенигородка,"сквер Володимира Терещенка, буд. 5 кв. 97, Мерефа, 39315",787 22 41,pushkardemian@example.com
Скиба,Ярина Василівна,Жіноча,1953-05-27,Інженер,селище Камінь-Каширський,"узвіз Андросовський, буд. 5, Новодружеськ, 22201",128 97 96,dhaidenko@example.com
Дробʼязко,Адам Володимирович,Чоловіча,1964-08-07,Футболіст,село Запоріжжя,"узвіз Скляний 3-й, буд. 75, Київ, 79410",+380 47 082-79-28,priskasheremeta@example.net
Артимишин,Василина Володимирівна,Жіноча,1989-05-01,Бухгалтер,місто Шептицький,"шосе Серединський, буд. 6, Нове Давидково, 87624",230-21-70,zasukhaanita@example.net
Стельмах,Христина Олександрівна,Жіноча,1951-07-04,Бібліотекар,селище Таврійськ,"шосе Теплична, буд. 5, Полонне, 16012",792-85-47,klavdiia72@example.com
Гавриленко,Єлисавета Іванівна,Жіноча,1939-10-17,Літературознавець,місто Збараж,"проспект Гаванна, буд. 9, Тячів, 22574",691 45 72,orysia85@example.org
Баштан,Венедикт Васильович,Чоловіча,1969-07-05,Епідеміолог,селище Старий Крим,"площа Лінія 50-та, буд. 7 кв. 54, Карлівка, 69442",+380 27 915 98 33,babarychenkoroman@example.net
Мазур,Лариса Тарасівна,Жіноча,1964-03-03,Антрополог,хутір Бориспіль,"набережна Бузкова, буд. 2, Пустомити, 14591",+380 38 602 72 82,anitaievtushenko@example.net
Калениченко,Охрім Васильович,Чоловіча,1969-09-02,Професор,село Берислав,"вулиця Одеський, буд. 509 кв. 14, Курахове, 52544",+380 (02) 687-44-76,odarkaokhrymovych@example.org
Гайдабура,Симон Ігорович,Чоловіча,1951-12-04,Провізор,хутір Козятин,"узвіз Джевецького, буд. 377, Тлумач, 39377",023 887 54 00,iaroslav98@example.net
Носенко,Христина Іванівна,Жіноча,1953-01-28,Ріелтор,село Жданівка,"набережна Яблучна, буд. 1, Канів, 88200",529-22-22,herman97@example.com
Товстоліс,Яків Олександрович,Чоловіча,1999-10-20,Няня,селище Щолкіне,"вулиця Данила Крижанівського, буд. 630 кв. 370, Ланівці, 50749",010 252-74-44,ovsiienkolevko@example.net
Затовканюк,Леон Ярославович,Чоловіча,2006-09-09,Археолог,село Бар,"парк Солонцюватий, буд. 1 кв. 96, Прилуки, 07230",062 37 44,danyliukoleh@example.com
Орлик,Георгій Павлович,Чоловіча,2004-06-11,Маркетолог,місто Курахове,"сквер Лінія 27-ма, буд. 756 кв. 0, Чорноморськ, 45186",+380 30 691-60-09,vermenychstefan@example.com
Цимбал,Любов Андріївна,Жіноча,1987-03-01,Професор,село Дергачі,"сквер Бориса Літвака, буд. 571 кв. 15, Ізяслав, 67450",+380 (23) 249-06-78,mishchenkoamvrosii@example.com
Вернидуб,Ілля Сергійович,Чоловіча,1944-12-24,Географ,місто Сновськ,"проспект Георгія Липського, буд. 400, Токмак, 36277",+380 61 852-79-00,jchalenko@example.net
Шиян,Прохір Романович,Чоловіча,1989-06-26,Програміст,місто Калуш,"проспект Удільний, буд. 7, Кобеляки, 01772",+380 46 729 94 39,virasirobaba@example.com
